Date,Open,High,Low,Close,Adj Close,Volume
2008-01-28,4.623214,4.880357,4.621429,4.776786,4.071817,2356418400
2008-02-04,4.793214,4.853571,4.188214,4.481429,3.820050,7052852800
2008-02-11,4.571786,4.678571,4.415000,4.451071,3.794172,5251344000
2008-02-18,4.499643,4.526786,4.138214,4.266429,3.636780,4440478000
2008-02-25,4.235357,4.721429,4.122857,4.465000,3.806045,7110535600
2008-03-03,4.444286,4.553571,4.214286,4.366071,3.721716,7304424400
2008-03-10,4.356429,4.653571,4.263214,4.521786,3.854451,5641904800
2008-03-17,4.376786,4.796071,4.376786,4.759643,4.057206,4197043200
2008-03-24,4.786071,5.205000,4.772857,5.107500,4.353724,5015836000
2008-03-31,5.116786,5.525357,5.090000,5.467143,4.660290,4751586000
2008-04-07,5.576071,5.703214,5.228571,5.255000,4.479456,5211858400
2008-04-14,5.241786,5.795000,5.162143,5.751429,4.902620,4069931600
2008-04-21,5.793214,6.110714,5.646071,6.061786,5.167175,6671456400
2008-04-28,6.062500,6.497143,6.040357,6.462143,5.508449,4759874000
2008-05-05,6.497143,6.721429,6.447857,6.551786,5.584859,4502719200
2008-05-12,6.614643,6.865714,6.530357,6.700714,5.711809,4197600400
2008-05-19,6.709286,6.738929,6.142857,6.470357,5.515448,5186980400
2008-05-26,6.526786,6.769286,6.494286,6.741071,5.746209,2791255600
2008-06-02,6.735714,6.783929,6.512143,6.630000,5.651531,3879212400
2008-06-09,6.599643,6.670714,5.903929,6.156071,5.247543,6645175600
2008-06-16,6.117857,6.512143,6.038214,6.259643,5.335831,4443171600
2008-06-23,6.240714,6.386786,5.862500,6.074643,5.178135,3824038400
2008-06-30,6.078214,6.337500,5.857143,6.075714,5.179048,3156358800
2008-07-07,6.184286,6.461071,6.107143,6.163571,5.253938,4375218400
2008-07-14,6.401429,6.403571,5.892857,5.898214,5.027743,4299828400
2008-07-21,5.960714,6.013214,5.233214,5.790000,4.935499,5775086800
2008-07-28,5.797857,5.802500,5.487500,5.595000,4.769278,3372104400
2008-08-04,5.592857,6.058929,5.461071,6.055357,5.161695,3458677600
2008-08-11,6.073929,6.444643,6.059643,6.276429,5.350141,3989482000
2008-08-18,6.270357,6.350357,6.136071,6.313929,5.382106,2654526000
2008-08-25,6.291071,6.294643,6.037143,6.054643,5.161087,2438430400
2008-09-01,6.157143,6.196429,5.630357,5.720714,4.876439,3045868000
2008-09-08,5.877500,5.888929,5.214286,5.319286,4.534256,5028310000
2008-09-15,5.072500,5.274643,4.310000,5.032500,4.289792,6428055200
2008-09-22,4.997857,5.008929,4.392857,4.580000,3.904075,5316589600
2008-09-29,4.272143,4.274286,3.380357,3.466786,2.955151,9448986400
2008-10-06,3.284286,3.625000,3.035714,3.457143,2.946930,10030613600
2008-10-13,3.733929,4.157143,3.067500,3.478571,2.965196,8846994800
2008-10-20,3.563571,3.616071,3.218214,3.442143,2.934144,9257127600
2008-10-27,3.395357,4.006786,3.280714,3.842500,3.275415,8091728400
2008-11-03,3.783214,3.992500,3.418571,3.508571,2.990769,6127402400
2008-11-10,3.577500,3.585714,3.072143,3.222857,2.747220,6786690400
2008-11-17,3.160000,3.270714,2.826429,2.949286,2.514024,6830208000
2008-11-24,3.043214,3.401786,3.030000,3.309643,2.821199,3875160800
2008-12-01,3.260714,3.436786,3.089286,3.357143,2.861689,5546335200
2008-12-08,3.474286,3.700000,3.304643,3.509643,2.991682,5408477200
2008-12-15,3.428214,3.445714,3.143571,3.214286,2.739915,4938460800
2008-12-22,3.215000,3.215357,3.019643,3.064643,2.612356,2059430800
2008-12-29,3.090000,3.251429,3.025714,3.241071,2.762747,3007158000
2009-01-05,3.327500,3.470357,3.215714,3.235000,2.757572,4444314000
2009-01-12,3.230714,3.249643,2.858929,2.940357,2.506414,5317037600
2009-01-19,2.926071,3.214286,2.792857,3.155714,2.689987,4182483200
2009-01-26,3.173571,3.392857,3.153571,3.218929,2.743872,3415890800
2009-02-02,3.182143,3.571429,3.175000,3.561429,3.035826,3402434000
2009-02-09,3.571429,3.678571,3.420357,3.541429,3.018777,3665211200
2009-02-16,3.459643,3.465714,3.178571,3.257143,2.776447,3036138000
2009-02-23,3.273214,3.318571,3.089643,3.189643,2.718909,3763667600
2009-03-02,3.147143,3.313214,2.940357,3.046429,2.596830,3954720000
2009-03-09,3.006429,3.471429,2.948929,3.426071,2.920444,3758554800
2009-03-16,3.447500,3.695714,3.363571,3.628214,3.092755,3575695200
2009-03-23,3.668214,3.927857,3.633929,3.816071,3.252888,3062752000
2009-03-30,3.732500,4.147500,3.664643,4.142500,3.531141,3110856000
2009-04-06,4.105000,4.285714,4.045714,4.270357,3.640129,2181032000
2009-04-13,4.286071,4.437500,4.134286,4.407857,3.757337,2347682400
2009-04-20,4.347500,4.542857,4.235714,4.425000,3.771949,3361839600
2009-04-27,4.389286,4.569643,4.380714,4.544286,3.873630,2290663200
2009-05-04,4.580000,4.767857,4.509286,4.613929,3.932995,2480892400
2009-05-11,4.548929,4.677143,4.263571,4.372143,3.726892,2425505600
2009-05-18,4.418929,4.618214,4.341786,4.375000,3.729328,1925792400
2009-05-25,4.455714,4.853571,4.448214,4.850357,4.134531,2227436400
2009-06-01,4.873929,5.228571,4.857143,5.166786,4.404260,2657272800
